,,,Per Game,Per Game,Per Game,Per Game,Per Game Relative,Per Game Relative,Per Game Relative,Per Game Relative,Home Teams,Home Teams,Home Teams,Home Teams,Home Teams,Visitor Teams,Visitor Teams,Visitor Teams,Visitor Teams,Visitor Teams,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Home Minus Visitor,Relative to Average*,Relative to Average*,Relative to Average*,Relative to Average*,Relative to Average*
Referee,Lg,G,FGA,FTA,PF,PTS,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS,W/L%,FGA,FTA,PF,PTS
Karl Lane,NBA,61,176.0,45.0,39.5,221.9,-0.2,+1.3,+0.2,+0.7,.574,88.5,21.7,20.1,112.1,.426,87.6,23.3,19.4,109.8,+.148,+0.9,-1.6,+0.7,+2.3,+.055,+0.8,-1.7,+0.7,+0.5
Eric Lewis,NBA,58,175.4,45.8,41.5,223.6,-0.8,+2.1,+2.2,+2.4,.586,88.1,22.6,21.2,114.2,.414,87.3,23.2,20.3,109.4,+.172,+0.8,-0.6,+0.9,+4.7,+.079,+0.7,-0.7,+0.9,+2.9
Mark Lindsay,NBA,63,175.7,43.6,39.1,222.4,-0.5,-0.1,-0.2,+1.2,.587,87.3,21.5,19.3,112.8,.413,88.3,22.1,19.8,109.6,+.175,-1.0,-0.6,-0.5,+3.2,+.082,-1.1,-0.7,-0.5,+1.4
Tre Maddox,NBA,54,176.9,43.9,38.6,221.4,+0.7,+0.2,-0.7,+0.2,.556,88.3,21.8,19.6,112.1,.444,88.6,22.1,19.0,109.4,+.111,-0.3,-0.3,+0.6,+2.7,+.018,-0.4,-0.4,+0.6,+0.9
Ed Malloy,NBA,54,175.9,43.3,39.6,219.1,-0.3,-0.4,+0.3,-2.1,.519,87.9,21.0,19.5,109.2,.481,87.9,22.3,20.0,109.9,+.037,0.0,-1.3,-0.5,-0.7,-.056,-0.1,-1.4,-0.5,-2.5
Suyash Mehta,NBA,47,175.3,44.4,39.7,221.5,-0.9,+0.7,+0.4,+0.3,.574,88.0,22.1,20.0,112.2,.426,87.3,22.4,19.7,109.3,+.149,+0.7,-0.3,+0.4,+2.9,+.056,+0.6,-0.4,+0.4,+1.1
Dannica Mosher,NBA,12,169.8,37.8,37.4,199.4,-6.4,-5.9,-1.9,-21.8,.750,85.4,19.1,18.8,102.8,.250,84.3,18.8,18.6,96.6,+.500,+1.1,+0.3,+0.3,+6.3,+.407,+1.0,+0.2,+0.3,+4.5
Rodney Mott,NBA,41,176.4,45.4,40.4,223.8,+0.2,+1.7,+1.1,+2.6,.415,88.2,22.8,20.4,111.7,.585,88.2,22.6,20.0,112.0,-.171,0.0,+0.2,+0.5,-0.3,-.264,-0.1,+0.1,+0.5,-2.1
Ashley Moyer-Gleich,NBA,4,168.0,59.0,46.3,240.5,-8.2,+15.3,+7.0,+19.3,.750,82.0,29.0,22.3,121.3,.250,86.0,30.0,24.0,119.3,+.500,-4.0,-1.0,-1.8,+2.0,+.407,-4.1,-1.1,-1.8,+0.2
Matt Myers,NBA,41,177.5,46.5,40.5,225.3,+1.3,+2.8,+1.2,+4.1,.537,88.6,23.9,19.9,112.9,.463,89.0,22.7,20.6,112.5,+.073,-0.4,+1.2,-0.7,+0.4,-.020,-0.5,+1.1,-0.7,-1.4
Andy Nagy,NBA,48,175.9,45.1,39.8,222.0,-0.3,+1.4,+0.5,+0.8,.521,88.9,22.8,19.9,111.0,.479,87.1,22.3,19.9,111.0,+.042,+1.8,+0.6,0.0,-0.1,-.051,+1.7,+0.5,0.0,-1.9
Brett Nansel,NBA,52,176.2,44.6,39.3,224.8,0.0,+0.9,0.0,+3.6,.538,88.2,23.3,19.1,112.7,.462,88.0,21.3,20.2,112.1,+.077,+0.1,+2.0,-1.1,+0.7,-.016,0.0,+1.9,-1.1,-1.1
J.T. Orr,NBA,55,176.3,42.3,38.8,219.0,+0.1,-1.4,-0.5,-2.2,.564,87.8,20.8,20.0,109.9,.436,88.4,21.5,18.8,109.1,+.127,-0.6,-0.7,+1.2,+0.8,+.034,-0.7,-0.8,+1.2,-1.0
Gediminas Petraitis,NBA,60,175.6,46.2,40.9,226.1,-0.6,+2.5,+1.6,+4.9,.533,87.4,24.1,19.6,113.0,.467,88.2,22.1,21.3,113.1,+.067,-0.8,+2.0,-1.7,-0.2,-.026,-0.9,+1.9,-1.7,-2.0
Phenizee Ransom,NBA,47,175.1,42.6,40.6,217.9,-1.1,-1.1,+1.3,-3.3,.553,87.0,21.3,20.6,109.7,.447,88.1,21.3,20.1,108.1,+.106,-1.1,0.0,+0.5,+1.6,+.013,-1.2,-0.1,+0.5,-0.2
Derek Richardson,NBA,55,177.3,41.8,38.6,221.8,+1.1,-1.9,-0.7,+0.6,.436,88.8,20.6,19.5,110.4,.564,88.5,21.2,19.1,111.4,-.127,+0.3,-0.7,+0.3,-1.0,-.220,+0.2,-0.8,+0.3,-2.8
Natalie Sago,NBA,64,174.5,45.6,39.5,223.3,-1.7,+1.9,+0.2,+2.1,.531,88.2,22.9,19.5,112.8,.469,86.4,22.7,20.0,110.5,+.063,+1.8,+0.3,-0.5,+2.4,-.030,+1.7,+0.2,-0.5,+0.6
Jenna Schroeder,NBA,37,178.2,44.2,37.4,221.7,+2.0,+0.5,-1.9,+0.5,.432,90.7,21.5,18.5,111.3,.568,87.5,22.6,18.9,110.4,-.135,+3.3,-1.1,-0.4,+1.0,-.228,+3.2,-1.2,-0.4,-0.8
